Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,order_date,price_value,currency,gross_revenue,paid_revenue,return_count_total,return_count_processed,return_count_rejected,refund_total_processed,latest_return_date,has_any_return,has_processed_return,ticket_count,latest_ticket_date,defect_tickets,delivery_tickets,lockout_tickets,refund_tickets,total_exclaims,avg_text_len,has_any_ticket
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.20,1,Paid,2023-11-24,919.2,UNK,919.2,919.2,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
100061,2023-11-17,C0002,Electronics,Laptop X,"1598,23 EUR",1,Paid,2023-11-17,1598.23,EUR,1598.23,1598.23,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,2023-12-14,23.86,UNK,23.86,23.86,0.0,0.0,0.0,0.0,,False,False,4.0,,1.0,0.0,0.0,1.0,0.0,157.75,True
100391,28/11/2023,C0001,Smart Home,NordTherm,$101.68,1,Paid,,101.68,USD,101.68,101.68,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
100319,2023-11-27,C0004,Accessories,Phone Case,"35,72 EUR",1,Paid,2023-11-27,35.72,EUR,35.72,35.72,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,2023-12-09,230.36,UNK,230.36,230.36,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
100105,2023-11-19,C0056,Smart Home,NordCam Mini,"82,40 EUR",1,Paid,2023-11-19,82.4,EUR,82.4,82.4,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
100603,2023-12-04,C0002,Electronics,Laptop X,"1771,94 EUR",1,Paid,2023-12-04,1771.94,EUR,1771.94,1771.94,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,2023-11-28,210.88,UNK,210.88,210.88,0.0,0.0,0.0,0.0,,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,,False
100563,2023-12-03,C0008,Electronics,Smartphone Z,855.14,1,Paid,2023-12-03,855.14,UNK,855.14,855.14,1.0,1.0,0.0,855.14,,True,True,0.0,,0.0,0.0,0.0,0.0,0.0,,False
